model,dv,n_obs,beta0,beta0_se,beta1,beta1_se,beta1_t,beta1_p,r2_linear,sig,sigma2
Llama-3B,Engagement,1010,5.114793,0.037745,0.036754,0.000652,56.358,0.0,0.7591,***,0.0684
Llama-3B,Difficulty Delta,1010,-0.255332,0.014784,0.007717,0.000255,30.212,0.0,0.4752,***,0.0269
Llama-8B,Engagement,1010,2.734246,0.036763,0.067176,0.000635,105.763,0.0,0.9173,***,0.055
Llama-8B,Difficulty Delta,1010,-0.603078,0.010028,0.010658,0.000173,61.514,0.0,0.7896,***,0.0067
Llama-11B,Engagement,1010,2.769074,0.033797,0.065074,0.000584,111.444,0.0,0.9249,***,0.0516
Llama-11B,Difficulty Delta,1010,-0.520504,0.009684,0.00941,0.000167,56.242,0.0,0.7583,***,0.0083
Mistral-7B,Engagement,1010,2.829645,0.028008,0.069566,0.000484,143.756,0.0,0.9535,***,0.0261
Mistral-7B,Difficulty Delta,1010,-0.328719,0.013027,0.005359,0.000225,23.808,0.0,0.3599,***,0.0068
Qwen-7B,Engagement,1010,3.335877,0.037705,0.04851,0.000651,74.466,0.0,0.8462,***,0.045
Qwen-7B,Difficulty Delta,1010,-0.532275,0.009537,0.009549,0.000165,57.955,0.0,0.7692,***,0.0025
Qwen-14B,Engagement,1010,3.190448,0.044984,0.057062,0.000777,73.421,0.0,0.8425,***,0.0246
Qwen-14B,Difficulty Delta,1010,-0.598547,0.015834,0.011415,0.000274,41.725,0.0,0.6333,***,0.0035
Qwen2.5-32B,Engagement,1010,2.061619,0.034077,0.069778,0.000589,118.516,0.0,0.933,***,0.02
Qwen2.5-32B,Difficulty Delta,1010,-0.85113,0.00983,0.0138,0.00017,81.258,0.0,0.8676,***,0.0018
QwenVL-7B,Engagement,1010,3.765521,0.042585,0.05564,0.000736,75.623,0.0,0.8502,***,0.0822
QwenVL-7B,Difficulty Delta,1010,-0.342327,0.013807,0.007423,0.000239,31.116,0.0,0.4899,***,0.0039
Qwen2.5-VL-32B,Engagement,1010,2.354164,0.037548,0.069748,0.000649,107.516,0.0,0.9198,***,0.033
Qwen2.5-VL-32B,Difficulty Delta,1010,-0.828454,0.011683,0.015412,0.000202,76.35,0.0,0.8526,***,0.0014
