model,dv,degree,n,r2_full,F_condition,df_condition,p_condition,eta2_condition,dR2_condition,sig_condition,F_interaction,df_interaction,p_interaction,eta2_interaction,F_maori,p_maori,eta2_maori,dR2_maori,F_kaumatua,p_kaumatua,eta2_kaumatua,dR2_kaumatua,F_kaum_vs_maori,df_kaum_vs_maori,p_kaum_vs_maori,eta2_kaum_vs_maori
Llama-1B,engagement_score,1,2987,0.1502,126.199,"4,2981",0.0,0.1448,0.1439,True,10.156,"2,2981",4e-05,0.0068,257.322,0.0,0.2064,0.2046,91.425,0.0,0.0843,0.0842,53.853,"2,1997",0.0,0.0512
Llama-1B,difficulty_delta,3,2987,0.5322,16.155,"8,2975",0.0,0.0416,0.0203,True,12.915,"6,2975",0.0,0.0254,29.395,0.0,0.0562,0.0282,8.895,0.0,0.0176,0.0073,10.149,"4,1993",0.0,0.02
Llama-3B,engagement_score,1,3030,0.7477,8.044,"4,3024",0.0,0.0105,0.0027,True,5.526,"2,3024",0.00402,0.0036,15.845,0.0,0.0155,0.0039,5.875,0.00286,0.0058,0.0015,2.737,"2,2016",0.06501,0.0027
Llama-3B,difficulty_delta,2,3030,0.6693,34.315,"6,3021",0.0,0.0638,0.0225,True,3.817,"4,3021",0.00424,0.005,58.98,0.0,0.0808,0.0288,10.961,0.0,0.0161,0.0057,32.73,"3,2014",0.0,0.0465
Llama-8B,engagement_score,1,3030,0.925,37.874,"4,3024",0.0,0.0477,0.0038,True,6.772,"2,3024",0.00116,0.0045,26.765,0.0,0.0259,0.002,64.561,0.0,0.0602,0.005,19.318,"2,2016",0.0,0.0188
Llama-8B,difficulty_delta,2,3030,0.8213,45.136,"6,3021",0.0,0.0823,0.016,True,36.499,"4,3021",0.0,0.0461,41.294,0.0,0.0579,0.0107,75.26,0.0,0.1008,0.0185,19.535,"3,2014",0.0,0.0283
Llama-11B,engagement_score,1,3030,0.9238,66.699,"4,3024",0.0,0.0811,0.0067,True,9.226,"2,3024",0.0001,0.0061,44.228,0.0,0.042,0.0033,120.349,0.0,0.1067,0.0091,33.171,"2,2016",0.0,0.0319
Llama-11B,difficulty_delta,3,3030,0.809,22.032,"8,3018",0.0,0.0552,0.0112,True,15.846,"6,3018",0.0,0.0305,17.523,0.0,0.0337,0.0067,29.342,0.0,0.0551,0.0107,19.191,"4,2012",0.0,0.0368
Mistral-7B,engagement_score,1,3030,0.9481,28.816,"4,3024",0.0,0.0367,0.002,True,27.523,"2,3024",0.0,0.0179,14.477,0.0,0.0142,0.0007,50.86,0.0,0.048,0.0027,19.523,"2,2016",0.0,0.019
Mistral-7B,difficulty_delta,2,3030,0.7654,51.233,"6,3021",0.0,0.0924,0.0239,True,31.391,"4,3021",0.0,0.0399,30.385,0.0,0.0433,0.0114,101.421,0.0,0.1312,0.0351,22.052,"3,2014",0.0,0.0318
Qwen-7B,engagement_score,1,3030,0.859,33.656,"4,3024",0.0,0.0426,0.0063,True,36.279,"2,3024",0.0,0.0234,33.918,0.0,0.0326,0.0048,55.714,0.0,0.0524,0.008,12.74,"2,2016",0.0,0.0125
Qwen-7B,difficulty_delta,3,3030,0.8376,12.43,"8,3018",0.0,0.0319,0.0054,True,11.691,"6,3018",0.0,0.0227,9.832,0.0,0.0192,0.0031,21.648,0.0,0.0413,0.0071,5.136,"4,2012",0.00041,0.0101
Qwen-14B,engagement_score,2,3030,0.8855,17.853,"6,3021",0.0,0.0342,0.0041,True,4.933,"4,3021",0.00058,0.0065,33.721,0.0,0.0478,0.0058,14.655,0.0,0.0214,0.0024,5.142,"3,2014",0.00153,0.0076
Qwen-14B,difficulty_delta,2,3030,0.8451,2.678,"6,3021",0.01356,0.0053,0.0008,True,2.808,"4,3021",0.02425,0.0037,5.075,0.00168,0.0075,0.0012,1.431,0.23198,0.0021,0.0003,1.561,"3,2014",0.19681,0.0023
Qwen2.5-32B,engagement_score,1,3030,0.9482,19.442,"4,3024",0.0,0.0251,0.0013,True,35.341,"2,3024",0.0,0.0228,6.603,0.00139,0.0065,0.0004,35.764,0.0,0.0343,0.0019,14.878,"2,2016",0.0,0.0145
Qwen2.5-32B,difficulty_delta,3,3030,0.9397,4.603,"8,3018",1e-05,0.0121,0.0007,True,4.759,"6,3018",8e-05,0.0094,3.218,0.01209,0.0064,0.0004,7.236,1e-05,0.0142,0.0009,2.975,"4,2012",0.01833,0.0059
QwenVL-7B,engagement_score,1,3030,0.8565,4.814,"4,3024",0.00072,0.0063,0.0009,True,5.098,"2,3024",0.00616,0.0034,3.854,0.02135,0.0038,0.0006,8.989,0.00013,0.0088,0.0013,1.551,"2,2016",0.21233,0.0015
QwenVL-7B,difficulty_delta,2,3030,0.8557,21.55,"6,3021",0.0,0.041,0.0062,True,22.751,"4,3021",0.0,0.0292,13.767,0.0,0.0201,0.0031,41.694,0.0,0.0585,0.0092,8.588,"3,2014",1e-05,0.0126
Qwen2.5-VL-32B,engagement_score,1,3028,0.9167,23.144,"4,3022",0.0,0.0297,0.0026,True,10.897,"2,3022",2e-05,0.0072,39.626,0.0,0.0379,0.0032,25.615,0.0,0.0248,0.0021,4.227,"2,2014",0.01472,0.0042
Qwen2.5-VL-32B,difficulty_delta,2,3028,0.904,35.241,"6,3019",0.0,0.0655,0.0067,True,52.08,"4,3019",0.0,0.0645,58.536,0.0,0.0803,0.0079,45.627,0.0,0.0636,0.0065,1.766,"3,2012",0.15161,0.0026
