model,condition,meandiff_engagement_score,d_engagement_score,meandiff_difficulty_delta,d_difficulty_delta
Llama-1B,maori,0.4253,0.9925,-0.0581,-0.2065
Llama-1B,kaumatua,0.1892,0.6026,-0.0161,-0.0561
Llama-3B,maori,0.1307,0.101,-0.1078,-0.3422
Llama-3B,kaumatua,0.0871,0.069,-0.0373,-0.121
Llama-8B,maori,0.1693,0.0844,0.0339,0.1041
Llama-8B,kaumatua,0.2891,0.1407,0.0669,0.2056
Llama-11B,maori,0.2089,0.108,0.0194,0.0653
Llama-11B,kaumatua,0.3792,0.191,0.0509,0.1703
Mistral-7B,maori,0.0287,0.0142,-0.0462,-0.1829
Mistral-7B,kaumatua,0.1485,0.0738,-0.0692,-0.2901
Qwen-7B,maori,0.0743,0.045,0.0254,0.0832
Qwen-7B,kaumatua,0.2178,0.1328,0.0246,0.0822
Qwen-14B,maori,0.2515,0.1404,0.0144,0.0357
Qwen-14B,kaumatua,0.1525,0.0843,0.0123,0.0299
Qwen2.5-32B,maori,0.0396,0.0186,0.0052,0.0122
Qwen2.5-32B,kaumatua,0.0574,0.0262,0.0136,0.0311
QwenVL-7B,maori,-0.0703,-0.0395,-0.0157,-0.0486
QwenVL-7B,kaumatua,-0.0861,-0.0476,-0.035,-0.1049
Qwen2.5-VL-32B,maori,0.1951,0.0947,0.0102,0.0221
Qwen2.5-VL-32B,kaumatua,0.1861,0.0887,0.0063,0.0137
