model,condition,bin,n_baseline,n_treatment,meandiff_engagement_score,meandiff_difficulty_delta
Llama-1B,gaze_aversion,0-10%,98,100,-0.02,-0.0069
Llama-1B,gaze_aversion,10-20%,100,100,-0.02,0.003
Llama-1B,gaze_aversion,20-30%,99,100,-0.03,-0.0068
Llama-1B,gaze_aversion,30-40%,99,100,0.01,-0.0013
Llama-1B,gaze_aversion,40-50%,100,100,-0.01,-0.0014
Llama-1B,gaze_aversion,50-60%,99,100,0.07,-0.0152
Llama-1B,gaze_aversion,60-70%,99,100,0.06,0.0366
Llama-1B,gaze_aversion,70-80%,97,100,0.0,0.0285
Llama-1B,gaze_aversion,80-90%,93,100,0.01,0.0003
Llama-1B,gaze_aversion,90-100%,93,100,0.05,0.3483
Llama-1B,direct_gaze_explicit,0-10%,98,99,-0.101,-0.016
Llama-1B,direct_gaze_explicit,10-20%,100,100,-0.02,0.003
Llama-1B,direct_gaze_explicit,20-30%,99,100,-0.08,-0.0078
Llama-1B,direct_gaze_explicit,30-40%,99,100,0.01,0.0002
Llama-1B,direct_gaze_explicit,40-50%,100,100,-0.04,0.0043
Llama-1B,direct_gaze_explicit,50-60%,99,100,0.05,-0.0203
Llama-1B,direct_gaze_explicit,60-70%,99,100,0.04,0.017
Llama-1B,direct_gaze_explicit,70-80%,97,100,0.0,0.0465
Llama-1B,direct_gaze_explicit,80-90%,93,100,0.01,0.0003
Llama-1B,direct_gaze_explicit,90-100%,93,100,0.08,0.3775
Llama-3B,gaze_aversion,0-10%,100,100,0.67,0.1745
Llama-3B,gaze_aversion,10-20%,100,100,0.01,0.076
Llama-3B,gaze_aversion,20-30%,100,100,0.07,-0.0805
Llama-3B,gaze_aversion,30-40%,100,100,0.28,-0.1605
Llama-3B,gaze_aversion,40-50%,100,100,0.87,-0.191
Llama-3B,gaze_aversion,50-60%,100,100,0.05,-0.2073
Llama-3B,gaze_aversion,60-70%,100,100,0.07,-0.1905
Llama-3B,gaze_aversion,70-80%,100,100,0.0,-0.1556
Llama-3B,gaze_aversion,80-90%,100,100,-0.01,-0.1994
Llama-3B,gaze_aversion,90-100%,100,100,-0.18,-0.313
Llama-3B,direct_gaze_explicit,0-10%,100,100,0.79,0.129
Llama-3B,direct_gaze_explicit,10-20%,100,100,0.03,0.194
Llama-3B,direct_gaze_explicit,20-30%,100,100,0.32,0.2195
Llama-3B,direct_gaze_explicit,30-40%,100,100,0.5,0.0958
Llama-3B,direct_gaze_explicit,40-50%,100,100,0.95,0.0025
Llama-3B,direct_gaze_explicit,50-60%,100,100,0.2,-0.0813
Llama-3B,direct_gaze_explicit,60-70%,100,100,0.1,-0.0667
Llama-3B,direct_gaze_explicit,70-80%,100,100,0.0,-0.0326
Llama-3B,direct_gaze_explicit,80-90%,100,100,0.02,-0.0543
