model,dv,M,K,GA,DG
Llama-11B,Del.,-12.7,-12.4,-58.2,14.0
Llama-11B,Eng.,-4.1,1.0,-77.8,-5.4
Llama-1B,Del.,-12.9,4.2,34.4,38.2
Llama-1B,Eng.,2.59551641675675e+16,6727258224707900.0,6389498364748900.0,1.23831716610141e+16
Llama-3B,Del.,-2.1,-12.2,-52.3,-37.7
Llama-3B,Eng.,9.0,3.8,-17.2,-16.2
Llama-8B,Del.,-16.8,-18.8,-63.6,-1.5
Llama-8B,Eng.,-3.2,1.3,-68.9,1.8
Mistral-7B,Del.,6.6,4.3,-100.0,-121.2
Mistral-7B,Eng.,-5.0,-7.2,-44.3,0.3
Qwen-14B,Del.,-5.3,-2.2,-69.0,-71.5
Qwen-14B,Eng.,-1.9,0.4,-49.4,-28.0
Qwen-32B,Del.,-0.2,1.7,-80.5,8.2
Qwen-32B,Eng.,3.5,9.1,-71.0,14.7
Qwen-7B,Del.,-8.4,-16.1,-72.4,-29.9
Qwen-7B,Eng.,15.3,13.9,-59.3,41.1
QwenVL-32B,Del.,-15.5,-15.2,-65.8,-4.3
QwenVL-32B,Eng.,-6.1,-2.3,-61.0,4.3
QwenVL-7B,Del.,14.0,23.6,-48.2,-33.1
QwenVL-7B,Eng.,2.8,6.0,-67.2,-41.8
