model,params_b,total,parse_err,success_pct,total_baseline,parse_err_baseline,success_pct_baseline,total_maori,parse_err_maori,success_pct_maori,total_kaumatua,parse_err_kaumatua,success_pct_kaumatua,total_gaze_aversion,parse_err_gaze_aversion,success_pct_gaze_aversion,total_direct_gaze_explicit,parse_err_direct_gaze_explicit,success_pct_direct_gaze_explicit
Llama-1B,1.0,5050,44,99.13,1010,24,97.62,1010,13,98.71,1010,6,99.41,1010,0,100.0,1010,1,99.9
Llama-3B,3.0,5050,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0
Mistral-7B,7.0,5050,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0
Qwen-7B,7.0,5050,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0
QwenVL-7B,7.0,5050,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0
Llama-8B,8.0,5050,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0
Llama-11B,11.0,5050,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0
Qwen-14B,14.0,5050,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0
Qwen-32B,32.0,5050,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0
QwenVL-32B,32.0,5048,0,100.0,1010,0,100.0,1008,0,100.0,1010,0,100.0,1010,0,100.0,1010,0,100.0
TOTAL,,50498,44,99.91,10100,24,99.76,10098,13,99.87,10100,6,99.94,10100,0,100.0,10100,1,99.99
