model,dv,framing,degree,treatment,reference,n_jn_points,jn_points,always_sig,never_sig,region_label
Llama-1B,Engagement,Implicit,1,maori,baseline,0,,True,False,"Significant across entire range [0, 100]"
Llama-1B,Engagement,Implicit,1,kaumatua,baseline,0,,True,False,"Significant across entire range [0, 100]"
Llama-1B,Engagement,Implicit,1,kaumatua,maori,0,,True,False,"Significant across entire range [0, 100]"
Llama-1B,Engagement,Explicit,1,gaze_aversion,baseline,1,61.7,False,False,Significant for fixation 61.7-100.0%
Llama-1B,Engagement,Explicit,1,direct_gaze_explicit,baseline,2,37.1;73.3,False,False,"Significant for fixation 0.0-36.9%, 73.3-100.0%"
Llama-1B,Engagement,Explicit,1,gaze_aversion,direct_gaze_explicit,0,,False,True,"Not significant anywhere in [0, 100]"
Llama-1B,Difficulty Delta,Implicit,3,maori,baseline,3,34.3;91.2;97.2,False,False,"Significant for fixation 34.3-91.0%, 97.2-100.0%"
Llama-1B,Difficulty Delta,Implicit,3,kaumatua,baseline,3,37.1;82.4;91.0,False,False,"Significant for fixation 37.1-82.2%, 91.0-100.0%"
Llama-1B,Difficulty Delta,Implicit,3,kaumatua,maori,2,41.7;96.0,False,False,Significant for fixation 41.7-95.8%
Llama-1B,Difficulty Delta,Explicit,3,gaze_aversion,baseline,6,1.2;18.6;23.4;47.7;64.3;75.4,False,False,"Significant for fixation 0.0-1.0%, 18.6-23.2%, 47.7-64.1%, 75.4-100.0%"
Llama-1B,Difficulty Delta,Explicit,3,direct_gaze_explicit,baseline,6,3.6;17.2;26.5;46.1;66.3;75.4,False,False,"Significant for fixation 0.0-3.4%, 17.2-26.3%, 46.1-66.1%, 75.4-100.0%"
Llama-1B,Difficulty Delta,Explicit,3,gaze_aversion,direct_gaze_explicit,0,,False,True,"Not significant anywhere in [0, 100]"
Llama-3B,Engagement,Implicit,1,maori,baseline,1,30.9,False,False,Significant for fixation 30.9-100.0%
Llama-3B,Engagement,Implicit,1,kaumatua,baseline,1,33.5,False,False,Significant for fixation 33.5-100.0%
Llama-3B,Engagement,Implicit,1,kaumatua,maori,1,59.9,False,False,Significant for fixation 59.9-100.0%
Llama-3B,Engagement,Explicit,1,gaze_aversion,baseline,2,68.1;90.4,False,False,"Significant for fixation 0.0-67.9%, 90.4-100.0%"
Llama-3B,Engagement,Explicit,1,direct_gaze_explicit,baseline,1,85.4,False,False,Significant for fixation 0.0-85.2%
Llama-3B,Engagement,Explicit,1,gaze_aversion,direct_gaze_explicit,0,,True,False,"Significant across entire range [0, 100]"
Llama-3B,Difficulty Delta,Implicit,2,maori,baseline,0,,True,False,"Significant across entire range [0, 100]"
Llama-3B,Difficulty Delta,Implicit,2,kaumatua,baseline,1,29.9,False,False,Significant for fixation 29.9-100.0%
Llama-3B,Difficulty Delta,Implicit,2,kaumatua,maori,1,92.8,False,False,Significant for fixation 0.0-92.6%
Llama-3B,Difficulty Delta,Explicit,2,gaze_aversion,baseline,2,17.2;23.0,False,False,"Significant for fixation 0.0-17.0%, 23.0-100.0%"
Llama-3B,Difficulty Delta,Explicit,2,direct_gaze_explicit,baseline,3,43.7;60.5;97.8,False,False,"Significant for fixation 0.0-43.5%, 60.5-97.6%"
Llama-3B,Difficulty Delta,Explicit,2,gaze_aversion,direct_gaze_explicit,0,,True,False,"Significant across entire range [0, 100]"
Llama-8B,Engagement,Implicit,1,maori,baseline,1,90.6,False,False,Significant for fixation 0.0-90.4%
Llama-8B,Engagement,Implicit,1,kaumatua,baseline,0,,True,False,"Significant across entire range [0, 100]"
Llama-8B,Engagement,Implicit,1,kaumatua,maori,1,29.7,False,False,Significant for fixation 29.7-100.0%
Llama-8B,Engagement,Explicit,1,gaze_aversion,baseline,2,84.0;88.8,False,False,"Significant for fixation 0.0-83.8%, 88.8-100.0%"
Llama-8B,Engagement,Explicit,1,direct_gaze_explicit,baseline,0,,True,False,"Significant across entire range [0, 100]"
Llama-8B,Engagement,Explicit,1,gaze_aversion,direct_gaze_explicit,2,70.5;74.7,False,False,"Significant for fixation 0.0-70.3%, 74.7-100.0%"
Llama-8B,Difficulty Delta,Implicit,2,maori,baseline,3,43.7;67.7;81.8,False,False,"Significant for fixation 0.0-43.5%, 67.7-81.6%"
Llama-8B,Difficulty Delta,Implicit,2,kaumatua,baseline,2,76.2;93.0,False,False,"Significant for fixation 0.0-76.0%, 93.0-100.0%"
Llama-8B,Difficulty Delta,Implicit,2,kaumatua,maori,3,13.4;82.6;96.4,False,False,"Significant for fixation 13.4-82.4%, 96.4-100.0%"
Llama-8B,Difficulty Delta,Explicit,2,gaze_aversion,baseline,2,61.3;65.9,False,False,"Significant for fixation 0.0-61.1%, 65.9-100.0%"
Llama-8B,Difficulty Delta,Explicit,2,direct_gaze_explicit,baseline,4,8.2;29.1;66.5;85.4,False,False,"Significant for fixation 0.0-8.0%, 29.1-66.3%, 85.4-100.0%"
Llama-8B,Difficulty Delta,Explicit,2,gaze_aversion,direct_gaze_explicit,2,57.9;63.7,False,False,"Significant for fixation 0.0-57.7%, 63.7-100.0%"
Llama-11B,Engagement,Implicit,1,maori,baseline,1,95.8,False,False,Significant for fixation 0.0-95.6%
Llama-11B,Engagement,Implicit,1,kaumatua,baseline,0,,True,False,"Significant across entire range [0, 100]"
Llama-11B,Engagement,Implicit,1,kaumatua,maori,1,19.6,False,False,Significant for fixation 19.6-100.0%
Llama-11B,Engagement,Explicit,1,gaze_aversion,baseline,2,85.6;89.4,False,False,"Significant for fixation 0.0-85.4%, 89.4-100.0%"
Llama-11B,Engagement,Explicit,1,direct_gaze_explicit,baseline,0,,True,False,"Significant across entire range [0, 100]"
Llama-11B,Engagement,Explicit,1,gaze_aversion,direct_gaze_explicit,2,69.9;74.1,False,False,"Significant for fixation 0.0-69.7%, 74.1-100.0%"
Llama-11B,Difficulty Delta,Implicit,3,maori,baseline,3,32.7;54.7;73.5,False,False,"Significant for fixation 0.0-32.5%, 54.7-73.3%"
Llama-11B,Difficulty Delta,Implicit,3,kaumatua,baseline,1,73.1,False,False,Significant for fixation 0.0-72.9%
Llama-11B,Difficulty Delta,Implicit,3,kaumatua,maori,3,5.8;15.8;82.2,False,False,"Significant for fixation 0.0-5.6%, 15.8-82.0%"
Llama-11B,Difficulty Delta,Explicit,3,gaze_aversion,baseline,2,68.3;73.1,False,False,"Significant for fixation 0.0-68.1%, 73.1-100.0%"
Llama-11B,Difficulty Delta,Explicit,3,direct_gaze_explicit,baseline,4,32.5;46.1;84.6;98.8,False,False,"Significant for fixation 0.0-32.3%, 46.1-84.4%, 98.8-100.0%"
Llama-11B,Difficulty Delta,Explicit,3,gaze_aversion,direct_gaze_explicit,2,63.5;68.3,False,False,"Significant for fixation 0.0-63.3%, 68.3-100.0%"
Mistral-7B,Engagement,Implicit,1,maori,baseline,2,47.3;72.1,False,False,"Significant for fixation 0.0-47.1%, 72.1-100.0%"
Mistral-7B,Engagement,Implicit,1,kaumatua,baseline,2,69.7;94.2,False,False,"Significant for fixation 0.0-69.5%, 94.2-100.0%"
Mistral-7B,Engagement,Implicit,1,kaumatua,maori,1,86.4,False,False,Significant for fixation 0.0-86.2%
Mistral-7B,Engagement,Explicit,1,gaze_aversion,baseline,2,63.9;66.9,False,False,"Significant for fixation 0.0-63.7%, 66.9-100.0%"
Mistral-7B,Engagement,Explicit,1,direct_gaze_explicit,baseline,0,,True,False,"Significant across entire range [0, 100]"
Mistral-7B,Engagement,Explicit,1,gaze_aversion,direct_gaze_explicit,2,54.3;56.9,False,False,"Significant for fixation 0.0-54.1%, 56.9-100.0%"
Mistral-7B,Difficulty Delta,Implicit,2,maori,baseline,2,6.4;86.0,False,False,Significant for fixation 6.4-85.8%
Mistral-7B,Difficulty Delta,Implicit,2,kaumatua,baseline,4,2.4;9.8;87.6;94.2,False,False,"Significant for fixation 0.0-2.2%, 9.8-87.4%, 94.2-100.0%"
Mistral-7B,Difficulty Delta,Implicit,2,kaumatua,maori,4,8.0;18.8;84.0;96.0,False,False,"Significant for fixation 0.0-7.8%, 18.8-83.8%, 96.0-100.0%"
Mistral-7B,Difficulty Delta,Explicit,2,gaze_aversion,baseline,4,35.1;37.1;88.4;91.2,False,False,"Significant for fixation 0.0-34.9%, 37.1-88.2%, 91.2-100.0%"
Mistral-7B,Difficulty Delta,Explicit,2,direct_gaze_explicit,baseline,4,35.5;37.3;87.8;90.4,False,False,"Significant for fixation 0.0-35.3%, 37.3-87.6%, 90.4-100.0%"
Mistral-7B,Difficulty Delta,Explicit,2,gaze_aversion,direct_gaze_explicit,4,35.7;40.3;83.0;88.4,False,False,"Significant for fixation 0.0-35.5%, 40.3-82.8%, 88.4-100.0%"
Qwen-7B,Engagement,Implicit,1,maori,baseline,2,31.5;47.5,False,False,"Significant for fixation 0.0-31.3%, 47.5-100.0%"
Qwen-7B,Engagement,Implicit,1,kaumatua,baseline,2,2.2;27.9,False,False,"Significant for fixation 0.0-2.0%, 27.9-100.0%"
Qwen-7B,Engagement,Implicit,1,kaumatua,maori,1,99.0,False,False,Significant for fixation 0.0-98.8%
Qwen-7B,Engagement,Explicit,1,gaze_aversion,baseline,2,36.3;40.3,False,False,"Significant for fixation 0.0-36.1%, 40.3-100.0%"
Qwen-7B,Engagement,Explicit,1,direct_gaze_explicit,baseline,2,34.1;39.9,False,False,"Significant for fixation 0.0-33.9%, 39.9-100.0%"
Qwen-7B,Engagement,Explicit,1,gaze_aversion,direct_gaze_explicit,2,36.5;38.9,False,False,"Significant for fixation 0.0-36.3%, 38.9-100.0%"
Qwen-7B,Difficulty Delta,Implicit,3,maori,baseline,1,57.9,False,False,Significant for fixation 0.0-57.7%
Qwen-7B,Difficulty Delta,Implicit,3,kaumatua,baseline,2,64.1;84.0,False,False,"Significant for fixation 0.0-63.9%, 84.0-100.0%"
Qwen-7B,Difficulty Delta,Implicit,3,kaumatua,maori,2,12.0;83.6,False,False,"Significant for fixation 0.0-11.8%, 83.6-100.0%"
Qwen-7B,Difficulty Delta,Explicit,3,gaze_aversion,baseline,4,50.1;51.9;93.4;95.2,False,False,"Significant for fixation 0.0-49.9%, 51.9-93.2%, 95.2-100.0%"
Qwen-7B,Difficulty Delta,Explicit,3,direct_gaze_explicit,baseline,4,11.6;18.0;65.5;71.1,False,False,"Significant for fixation 0.0-11.4%, 18.0-65.3%, 71.1-100.0%"
Qwen-7B,Difficulty Delta,Explicit,3,gaze_aversion,direct_gaze_explicit,4,43.3;45.5;83.2;84.8,False,False,"Significant for fixation 0.0-43.1%, 45.5-83.0%, 84.8-100.0%"
Qwen-14B,Engagement,Implicit,2,maori,baseline,0,,True,False,"Significant across entire range [0, 100]"
Qwen-14B,Engagement,Implicit,2,kaumatua,baseline,2,35.1;63.5,False,False,"Significant for fixation 0.0-34.9%, 63.5-100.0%"
Qwen-14B,Engagement,Implicit,2,kaumatua,maori,1,56.7,False,False,Significant for fixation 0.0-56.5%
Qwen-14B,Engagement,Explicit,2,gaze_aversion,baseline,0,,True,False,"Significant across entire range [0, 100]"
