model,condition,n_obs,ferguson_degree,shape,r_plus,r_peak,r_minus,delta_min,delta_max,shift_r_plus,shift_r_peak,shift_r_minus
Llama-1B,baseline,986,3,Sigmoidal,,74.84,,0.0895,0.7197,,0.0,
Llama-1B,maori,997,3,Sigmoidal,,82.44,,0.0729,0.5736,,7.6,
Llama-1B,kaumatua,1004,3,Sigmoidal,,80.14,,0.0845,0.6697,,5.3,
Llama-1B,gaze_aversion,1010,3,Sigmoidal,,90.7,,0.0527,0.7951,,15.86,
Llama-1B,direct_gaze_explicit,1009,3,Sigmoidal,,95.2,,0.0391,0.8173,,20.36,
Llama-3B,baseline,1010,2,Quadratic (Concave-down),26.45,72.24,,-0.5416,0.3638,0.0,0.0,
Llama-3B,maori,1010,2,Quadratic (Concave-down),34.22,73.49,,-0.6206,0.2482,7.77,1.25,
Llama-3B,kaumatua,1010,2,Quadratic (Concave-down),27.65,70.44,,-0.5191,0.3034,1.21,-1.8,
Llama-3B,gaze_aversion,1010,2,Quadratic (Concave-down),33.21,68.73,,-0.3398,0.1239,6.76,-3.5,
Llama-3B,direct_gaze_explicit,1010,2,Quadratic (Concave-down),18.66,68.13,,-0.2909,0.3245,-7.79,-4.1,
Llama-8B,baseline,1010,2,Quadratic (Concave-down),47.55,96.75,,-0.7913,0.2757,0.0,0.0,
Llama-8B,maori,1010,2,Quadratic (Concave-down),46.56,100.0,,-0.6111,0.2754,-0.99,3.25,
Llama-8B,kaumatua,1010,2,Quadratic (Concave-down),39.95,85.89,,-0.635,0.2545,-7.6,-10.86,
Llama-8B,gaze_aversion,1010,2,Quadratic (Concave-down),31.61,60.88,90.16,-0.5071,0.1525,-15.95,-35.87,
Llama-8B,direct_gaze_explicit,1010,2,Quadratic (Concave-down),44.96,84.84,,-0.8443,0.2397,-2.6,-11.91,
Llama-11B,baseline,1010,3,Sigmoidal,48.9,82.74,,-0.5189,0.2805,0.0,0.0,
Llama-11B,maori,1010,3,Sigmoidal,49.81,84.94,,-0.3889,0.2707,0.91,2.2,
Llama-11B,kaumatua,1010,3,Sigmoidal,43.88,80.54,,-0.4426,0.2875,-5.02,-2.2,
Llama-11B,gaze_aversion,1010,3,Sigmoidal,29.87,65.93,94.49,-0.3447,0.2426,-19.04,-16.81,
Llama-11B,direct_gaze_explicit,1010,3,Sigmoidal,47.34,79.59,,-0.6568,0.3101,-1.56,-3.15,
Mistral-7B,baseline,1010,2,Quadratic (Concave-down),35.88,62.78,89.67,-0.6748,0.1517,0.0,0.0,0.0
Mistral-7B,maori,1010,2,Quadratic (Concave-down),43.81,66.28,88.75,-0.682,0.0885,7.93,3.5,-0.92
Mistral-7B,kaumatua,1010,2,Quadratic (Concave-down),53.11,70.84,88.59,-0.6305,0.0422,17.23,8.05,-1.08
Mistral-7B,gaze_aversion,1010,2,Quadratic (Concave-down),,0.0,,0.0,0.0,,-62.78,
Mistral-7B,direct_gaze_explicit,1010,2,Quadratic (Concave-up),85.53,0.0,37.66,-0.0281,0.1581,49.65,-62.78,-52.01
Qwen-7B,baseline,1010,3,Sigmoidal,50.92,82.69,,-0.4624,0.3045,0.0,0.0,
Qwen-7B,maori,1010,3,Sigmoidal,49.41,81.99,,-0.4029,0.3053,-1.51,-0.7,
Qwen-7B,kaumatua,1010,3,Sigmoidal,49.05,79.79,,-0.3834,0.2934,-1.87,-2.9,
Qwen-7B,gaze_aversion,1010,3,Sigmoidal,21.75,100.0,,-0.0362,0.3261,-29.17,17.31,
Qwen-7B,direct_gaze_explicit,1010,3,Sigmoidal,44.48,70.34,90.98,-0.5508,0.2304,-6.44,-12.36,
Qwen-14B,baseline,1010,2,Quadratic (Concave-down),37.5,73.19,,-1.0043,0.3137,0.0,0.0,
Qwen-14B,maori,1010,2,Quadratic (Concave-down),37.03,73.99,,-0.9259,0.3078,-0.47,0.8,
Qwen-14B,kaumatua,1010,2,Quadratic (Concave-down),36.87,73.34,,-0.9681,0.318,-0.63,0.15,
Qwen-14B,gaze_aversion,1010,2,Quadratic (Concave-down),14.54,63.03,,-0.2205,0.3196,-22.95,-10.16,
Qwen-14B,direct_gaze_explicit,1010,2,Quadratic (Concave-down),13.9,60.73,,-0.2267,0.3324,-23.59,-12.46,
Qwen2.5-32B,baseline,1010,3,Sigmoidal,53.85,82.99,,-0.8169,0.3303,0.0,0.0,
Qwen2.5-32B,maori,1010,3,Sigmoidal,52.66,81.49,,-0.8372,0.3332,-1.19,-1.5,
Qwen2.5-32B,kaumatua,1010,3,Sigmoidal,52.01,82.09,,-0.8785,0.3385,-1.84,-0.9,
Qwen2.5-32B,gaze_aversion,1010,3,Sigmoidal,45.79,68.43,86.21,-0.3798,0.1477,-8.06,-14.56,
Qwen2.5-32B,direct_gaze_explicit,1010,3,Sigmoidal,54.61,93.4,,-0.8415,0.4175,0.76,10.41,
QwenVL-7B,baseline,1010,2,Quadratic (Concave-down),30.78,65.68,,-0.7333,0.2884,0.0,0.0,
QwenVL-7B,maori,1010,2,Quadratic (Concave-down),32.38,66.78,,-0.8263,0.2985,1.6,1.1,
QwenVL-7B,kaumatua,1010,2,Quadratic (Concave-down),33.99,67.78,,-0.8908,0.2947,3.21,2.1,
QwenVL-7B,gaze_aversion,1010,2,Quadratic (Concave-down),19.66,62.58,,-0.3165,0.2812,-11.11,-3.1,
QwenVL-7B,direct_gaze_explicit,1010,2,Quadratic (Concave-down),25.48,60.63,95.76,-0.5705,0.2888,-5.3,-5.05,
Qwen2.5-VL-32B,baseline,1010,2,Quadratic (Concave-down),45.08,97.6,,-1.0955,0.4466,0.0,0.0,
Qwen2.5-VL-32B,maori,1008,2,Quadratic (Concave-down),40.86,80.09,,-1.0551,0.3328,-4.22,-17.51,
Qwen2.5-VL-32B,kaumatua,1010,2,Quadratic (Concave-down),42.0,82.89,,-1.0326,0.3322,-3.09,-14.71,
Qwen2.5-VL-32B,gaze_aversion,1010,2,Quadratic (Concave-down),20.39,67.03,,-0.3589,0.3368,-24.7,-30.57,
Qwen2.5-VL-32B,direct_gaze_explicit,1010,2,Quadratic (Concave-down),45.09,93.9,,-1.0811,0.4004,0.01,-3.7,
